pergunta,resposta
"O que é Pokémon GO?","É um jogo mobile de realidade aumentada lançado em 2016."
"O que é Yu-Gi-Oh?","É uma franquia de animes, cartas e jogos baseada em duelos de monstros."
"O que é Magic: The Gathering?","É um jogo de cartas colecionáveis lançado em 1993."
"O que é RPG?","RPG é um gênero de jogos em que os jogadores assumem papéis de personagens fictícios."
"O que é MMO?","MMO é um tipo de jogo online massivo, com milhares de jogadores simultâneos."
"O que é FPS?","FPS significa First Person Shooter, ou jogo de tiro em primeira pessoa."
"O que é MOBA?","MOBA é um gênero de jogos de estratégia em equipe, como League of Legends e Dota 2."
"O que é sandbox em jogos?","É um estilo de jogo com liberdade de exploração e criação, como Minecraft."
"Como clonar um repositório Git?","Use: git clone <url-do-repositório>"
"Como criar um novo branch no Git?","Use: git checkout -b nome-do-branch"
"Como faço um commit no Git?","Use: git add . && git commit -m \"mensagem\""
"Como vejo o status no Git?","Use: git status para ver arquivos modificados e pendentes"
"Como faço push para o repositório remoto?","Use: git push origin nome-do-branch"
"Como faço pull das mudanças remotas?","Use: git pull origin nome-do-branch"
"Como vejo o histórico de commits?","Use: git log --oneline para histórico resumido"
"Como desfazer alterações locais no Git?","Use: git checkout -- caminho/arquivo para restaurar"
"Como renomear um branch no Git?","Use: git branch -m nome-antigo nome-novo"
"Como criar um tag no Git?","Use: git tag -a v1.0 -m \"versão 1.0\""
"O que é Docker Compose?","Ferramenta para definir e rodar aplicações multi-container via arquivo yaml"
"Como construir uma imagem Docker?","Use: docker build -t nome-da-imagem ."
"Como listar imagens Docker locais?","Use: docker images para ver imagens no host"
"Como executo um comando dentro de um container?","Use: docker exec -it <container> /bin/bash"
"Como criar um volume Docker?","Use: docker volume create nome-do-volume"
"Como inspecionar um container Docker?","Use: docker inspect <container_id>"
"O que é um Dockerfile?","Arquivo com instruções para construir uma imagem Docker"
"Como remover todos os containers parados?","Use: docker container prune para limpar containers inativos"
"Como remover todas as imagens não usadas?","Use: docker image prune -a para remover imagens dangling"
"O que é Kubernetes Deployment?","Objeto que gerencia réplicas de aplicações em containers"
"Como escalar um deployment no Kubernetes?","Use: kubectl scale deployment/nome --replicas=5"
"Como expor um serviço no Kubernetes?","Use: kubectl expose deployment/nome --type=LoadBalancer --port=80"
"Como ver eventos do cluster Kubernetes?","Use: kubectl get events --sort-by=.metadata.creationTimestamp"
"O que é um Namespace no Kubernetes?","É uma divisão virtual para isolar recursos dentro do cluster"
"Como aplicar um arquivo YAML no Kubernetes?","Use: kubectl apply -f arquivo.yaml"
"Como verificar a utilização de recursos dos pods?","Use: kubectl top pods (com metrics-server instalado)"
"Como depurar um pod com CrashLoopBackOff?","Use: kubectl describe pod e kubectl logs para investigar problemas"
"O que é Helm?","Gestor de pacotes para Kubernetes que facilita deploys com charts"
"Como instalar um chart Helm?","Use: helm install nome ./chart -f values.yaml"
"Como listar releases do Helm?","Use: helm list para ver releases instaladas"
"O que é Terraform?","Ferramenta de IaC (Infrastructure as Code) para provisionar infraestrutura"
"Como inicializar um projeto Terraform?","Use: terraform init para preparar o diretório de trabalho"
"Como aplicar mudanças com Terraform?","Use: terraform apply para aplicar o plano gerado"
"Como visualizar o plano do Terraform?","Use: terraform plan para revisar mudanças antes de aplicar"
"O que é Ansible?","Ferramenta de automação para configuração e orquestração via SSH"
"Como rodar um playbook Ansible?","Use: ansible-playbook site.yml -i inventario"
"O que é CI/CD pipeline?","Sequência automatizada que constrói, testa e implanta aplicações"
"O que é Jenkinsfile?","Arquivo que define o pipeline do Jenkins em código declarativo"
"Como configurar variáveis de ambiente no Linux?","Use: export VAR=valor no shell ou /etc/environment para persistir"
"Como agendar tarefas no Linux?","Use: crontab -e para editar tarefas agendadas do usuário"
"Como ver tarefas cron do sistema?","Verifique /etc/crontab e /etc/cron.* para tarefas de sistema"
"Como checar logs do sistema no Linux?","Use: journalctl -u nome-do-serviço ou journalctl -xe"
"Como monitorar uso de CPU em tempo real?","Use: top ou htop para monitoramento interativo"
"Como verificar uso de memória?","Use: free -h para visualizar memória disponível e usada"
"Como listar módulos do kernel carregados?","Use: lsmod para ver módulos em uso"
"Como carregar um módulo do kernel manualmente?","Use: sudo modprobe nome_do_modulo"
"Como visualizar variáveis de ambiente do sistema?","Use: printenv ou env no shell"
"Como configurar um alias no bash?","Adicione alias gs='git status' no ~/.bashrc"
"O que é SSH Agent?","Gerencia chaves privadas localmente para autenticação sem senha"
"Como adicionar chave SSH ao agent?","Use: ssh-add ~/.ssh/id_rsa"
"Como gerar par de chaves SSH no Windows com PuTTY?","Use PuTTYgen para gerar chave privada e pública"
"Como proteger seu servidor contra ataques de força bruta SSH?","Use Fail2Ban, chaves SSH e porta não padrão"
"Como limitar acesso por IP no firewall UFW?","Use: sudo ufw allow from 1.2.3.4 to any port 22"
"Como habilitar UFW no Ubuntu?","Use: sudo ufw enable para ativar o firewall"
"Como verificar regras do firewall iptables?","Use: sudo iptables -L -v -n"
"Como configurar NAT em Linux?","Use regras iptables MASQUERADE e forwarding habilitado"
"O que é NAT?","Network Address Translation traduz endereços IP privados para públicos"
"Como usar o comando netcat (nc)?","Pode ser usado para testes de porta: nc -vz host porta"
"Como escanear uma rede com nmap?","Use: nmap -sS -p- 192.168.1.0/24 (requere permissão)"
"O que é SNMP?","Protocolo para monitoramento de dispositivos de rede"
"O que é IPv4 vs IPv6?","IPv4 usa 32 bits; IPv6 usa 128 bits para mais endereços"
"Como converter CIDR para máscara de sub-rede?","CIDR /24 corresponde a máscara 255.255.255.0"
"O que é VLAN?","VLAN segmenta uma rede física em redes lógicas isoladas"
"O que é QoS?","Quality of Service prioriza tráfego importante na rede"
"Como configurar DNS reverso?","Crie registros PTR no servidor DNS autoritativo para a sub-rede"
"O que é TTL em DNS?","Time To Live define por quanto tempo um registro DNS é cacheado"
"Como limpar cache DNS no Windows?","Use: ipconfig /flushdns"
"Como limpar cache DNS no Linux (systemd-resolved)?","Use: sudo systemd-resolve --flush-caches"
"O que é load testing?","Teste que simula alto tráfego para avaliar desempenho de sistemas"
"Que ferramenta usar para load testing?","JMeter, Gatling e k6 são opções populares"
"Como medir latência de um banco de dados?","Use ferramentas de profiling e métricas de query time"
"O que é conexão pool?","Pool mantém conexões abertas para reutilização e melhora performance"
"Como otimizar queries SQL lentas?","Use índices, EXPLAIN e evite scans completos quando possível"
"O que é índice em banco de dados?","Estrutura que acelera buscas por colunas específicas"
"Como criar backup enxuto de um banco MySQL?","Use mysqldump com opções --single-transaction e --quick"
"Como restaurar backup MySQL?","Use: mysql -u root -p banco < backup.sql"
"O que é NoSQL?","Bancos não relacionais, como MongoDB, Redis e Cassandra"
"O que é Redis?","Banco em memória usado para cache, filas e dados rápidos"
"Como persistir dados no Redis?","Configure RDB ou AOF para persistência em disco"
"O que é Elasticsearch?","Motor de busca e análise distribuído para logs e dados textuais"
"Como indexar documentos no Elasticsearch?","Use APIs REST para criar índices e adicionar documentos"
"O que é Kafka?","Plataforma de streaming e mensagens para grandes volumes de dados"
"O que é RabbitMQ?","Broker de mensagens que implementa filas e exchange patterns"
"O que é ETL?","Extract, Transform, Load — processo de mover e transformar dados"
"O que é data warehouse?","Armazenamento centralizado de dados para análise histórica"
"O que é OLTP vs OLAP?","OLTP foca em transações; OLAP em análises e consultas complexas"
"O que é SQL JOIN?","Operação para combinar linhas de duas tabelas com base em chave"
"Qual a diferença entre INNER JOIN e LEFT JOIN?","INNER retorna linhas correspondentes; LEFT inclui todas da tabela esquerda"
"Como criar uma view em SQL?","Use: CREATE VIEW nome AS SELECT ..."
"Como criar índice em SQL?","Use: CREATE INDEX nome_idx ON tabela(coluna)"
"O que é ACID em bancos?","Conjunto de propriedades Atomicidade, Consistência, Isolamento e Durabilidade"
"O que é BASE em NoSQL?","Basic Availability, Soft state, Eventual consistency — modelo alternativo a ACID"
"Como criptografar dados em trânsito?","Use TLS/SSL para proteger comunicação entre serviços"
"Como criptografar dados em repouso?","Use criptografia de disco ou criptografia de campo na camada de aplicação"
"O que é HSM?","Hardware Security Module: dispositivo para armazenar chaves criptográficas de forma segura"
"O que é PKI?","Infraestrutura de Chave Pública para emissão e gestão de certificados digitais"
"Como criar certificado autoassinado?","Use openssl req -x509 -nodes -days 365 -newkey rsa:2048 -keyout key.pem -out cert.pem"
"O que é OAuth 2.0?","Protocolo de autorização que permite acesso controlado a APIs"
"O que é OpenID Connect?","Camada de identidade sobre OAuth 2.0 para autenticação de usuários"
"O que é SAML?","Padrão para troca de dados de autenticação e autorização entre identidades"
"Como proteger APIs com OAuth?","Implemente fluxo de tokens, validação e scopes adequados"
"O que é rate limit por IP?","Mecanismo que limita número de requisições por endereço IP por intervalo"
"O que é brute force protection?","Técnicas para prevenir tentativas massivas de adivinhação de senhas"
"Como lidar com vulnerabilidades conhecidas?","Aplique patches, monitore advisories e use scanners de segurança"
"O que é CVE?","Common Vulnerabilities and Exposures: identificador público para falhas"
"O que é CVSS?","Sistema de pontuação que mede severidade de vulnerabilidades"
"Como organizar senhas em equipe?","Use gerenciadores de senha corporativos e políticas de acesso"
"O que é MFA?","Multi-Factor Authentication: autenticação com múltiplos fatores"
"Como auditar acessos em sistemas?","Mantenha logs detalhados e centralizados para análise e compliance"
"O que é compliance?","Conformidade com leis, normas e regulamentos aplicáveis a uma organização"
"O que é governança de TI?","Conjunto de práticas para alinhar TI aos objetivos e riscos do negócio"
"O que é SLA?","Service Level Agreement: acordo que define níveis de serviço esperados"
"Como calcular disponibilidade de um serviço?","Disponibilidade = (tempo de atividade / tempo total) * 100%"
"O que é RPO e RTO?","RPO é ponto de recuperação; RTO é tempo máximo para recuperar serviço"
"Como planejar recuperação de desastre?","Defina RPO/RTO, backups, redundância e procedimentos de failover"
"O que é alta disponibilidade?","Arquitetura que minimiza pontos únicos de falha para manter serviço ativo"
"O que é tolerância a falhas?","Capacidade de continuar operando apesar de falhas parciais"
"O que é blue/green deployment?","Estratégia de deploy que alterna tráfego entre duas versões para reduzir risco"
"O que é canary deployment?","Liberar nova versão para pequena porcentagem de usuários para testar"
"O que é feature flag?","Controle que permite ativar/desativar funcionalidades em produção dinamicamente"
